int(self),self.no_transporter,self.disturbance_cycle,tdi,self.cycle,mean_cyc_to_deliver,mean(self.residue),self.setup_file,self.item_file
20,12,150,50,627,69.66,0.25,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
21,12,150,50,605,61.26,0.3125,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
22,12,150,50,662,68.7,0.104166666666667,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
23,12,150,50,794,72.38,0.066666666666667,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
24,12,200,50,689,68.84,0.277777777777778,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
25,12,200,50,761,68.24,0.166666666666667,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
26,12,200,50,644,66.24,0.111111111111111,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
27,12,200,50,717,68.72,0.138888888888889,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
28,12,200,50,757,68.58,0.138888888888889,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
29,12,200,50,778,65.22,0.138888888888889,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
30,12,200,50,638,68.26,0.138888888888889,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
31,12,200,50,677,66.38,0.138888888888889,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
32,12,200,50,589,57,0.25,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
33,12,200,50,638,63.24,0.361111111111111,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
34,12,200,50,649,64.2,0,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
35,12,200,50,783,65.56,0.055555555555556,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
36,12,250,50,697,69.06,0.333333333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
37,12,250,50,751,62.76,0.194444444444444,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
38,12,250,50,636,62.62,0,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
39,12,250,50,708,68.9,0.125,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
40,12,250,50,746,70.04,0.083333333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
41,12,250,50,791,72.36,0.083333333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
42,12,250,50,634,66.48,0.083333333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
43,12,250,50,700,68.66,0.041666666666667,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
44,12,250,50,625,65.96,0.208333333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
45,12,250,50,634,64.96,0.25,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
46,12,250,50,665,64.92,0,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
47,12,250,50,777,68.96,0,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
48,12,300,50,647,59.42,0.333333333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
49,12,300,50,760,65.78,0.125,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
50,12,300,50,646,67.04,0,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
51,12,300,50,680,64,0.125,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
52,12,300,50,753,69.4,0.125,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
53,12,300,50,803,70.68,0.208333333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
54,12,300,50,631,66.9,0.083333333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
55,12,300,50,677,66.94,0.083333333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
56,12,300,50,588,59.12,0.25,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
57,12,300,50,660,68.42,0.291666666666667,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
58,12,300,50,652,60.04,0,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
59,12,300,50,791,66.46,0.125,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
60,12,20000,50,677,64.32,0,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
61,12,20000,50,782,66.16,0,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
62,12,20000,50,653,64.3,0,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
63,12,20000,50,690,64.9,0,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
64,12,20000,50,737,66.9,0,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
65,12,20000,50,786,66.42,0,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
66,12,20000,50,642,64.46,0,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
67,12,20000,50,682,64.08,0,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
68,12,20000,50,612,63.5,0,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
69,12,20000,50,652,65.02,0,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
70,12,20000,50,645,64.66,0,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
71,12,20000,50,780,66.26,0,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
72,12,100,100,1331,66.93,0.384615384615385,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
73,12,100,100,1509,74.28,0.305555555555556,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
74,12,100,100,1291,69.75,0.243589743589744,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
75,12,100,100,1345,67.75,0.243589743589744,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
76,12,100,100,1443,71.96,0.261904761904762,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
77,12,100,100,1558,71.54,0.411111111111111,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
78,12,100,100,1244,68.47,0.194444444444444,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
79,12,100,100,1294,69.38,0.230769230769231,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
80,12,100,100,1192,65.21,0.291666666666667,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
81,12,100,100,1235,64.01,0.402777777777778,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
82,12,100,100,1256,68.03,0.1875,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
83,12,100,100,1504,70.32,0.338888888888889,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
84,12,150,100,1320,65.84,0.322916666666667,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
85,12,150,100,1505,73.34,0.183333333333333,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
86,12,150,100,1252,64.76,0.177083333333333,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
87,12,150,100,1364,70.41,0.12962962962963,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
88,12,150,100,1444,70.19,0.148148148148148,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
89,12,150,100,1551,70.67,0.2,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
90,12,150,100,1220,62.91,0.166666666666667,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
91,12,150,100,1313,65.59,0.166666666666667,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
92,12,150,100,1184,65.05,0.214285714285714,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
93,12,150,100,1271,70.94,0.3125,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
94,12,150,100,1268,71.13,0.03125,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
95,12,150,100,1534,73.28,0.125,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
96,12,200,100,1294,68.45,0.125,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
97,12,200,100,1487,67.4,0.178571428571429,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
98,12,200,100,1280,69.4,0.194444444444444,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
99,12,200,100,1331,67.53,0.125,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
100,12,200,100,1436,72.7,0.107142857142857,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
101,12,200,100,1564,68.42,0.19047619047619,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
102,12,200,100,1230,65.36,0.166666666666667,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
103,12,200,100,1311,69.89,0.111111111111111,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
104,12,200,100,1181,64.49,0.2,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
105,12,200,100,1255,67.29,0.277777777777778,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
106,12,200,100,1305,69.17,0,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
107,12,200,100,1481,66.14,0.095238095238095,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
108,12,250,100,1329,66.74,0.233333333333333,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
109,12,250,100,1461,67.81,0.133333333333333,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
110,12,250,100,1288,70.6,0.083333333333333,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
111,12,250,100,1316,60.99,0.133333333333333,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
112,12,250,100,1422,70.18,0.083333333333333,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
113,12,250,100,1571,74.49,0.152777777777778,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
114,12,250,100,1247,64.75,0.15,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
115,12,250,100,1310,69.64,0.083333333333333,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
116,12,250,100,1213,69.89,0.208333333333333,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
117,12,250,100,1228,63.72,0.333333333333333,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
118,12,250,100,1274,66.24,0,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
119,12,250,100,1481,71.1,0,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
120,12,300,100,1322,68.75,0.208333333333333,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
121,12,300,100,1461,71.69,0.145833333333333,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
122,12,300,100,1210,63.09,0.1875,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
123,12,300,100,1331,64.45,0.145833333333333,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
124,12,300,100,1444,72.46,0.125,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
125,12,300,100,1554,71.06,0.15,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
126,12,300,100,1244,65.7,0.145833333333333,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
127,12,300,100,1321,70.99,0.0625,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
128,12,300,100,1213,68.27,0.166666666666667,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
129,12,300,100,1270,67.84,0.291666666666667,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
130,12,300,100,1263,63.29,0,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
131,12,300,100,1514,69,0.05,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
132,12,20000,100,1326,66.2,0,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
133,12,20000,100,1447,67.4,0,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
134,12,20000,100,1288,65.8,0,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
135,12,20000,100,1323,65.59,0,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
136,12,20000,100,1449,67.43,0,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
137,12,20000,100,1563,67.64,0,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
138,12,20000,100,1245,65.94,0,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
139,12,20000,100,1333,65.86,0,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
140,12,20000,100,1194,65.27,0,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
141,12,20000,100,1238,65.12,0,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
142,12,20000,100,1269,65.68,0,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
143,12,20000,100,1498,67.25,0,../includes/setup_smartphone.csv,../includes/orderedItems100.csv
144,12,100,250,3244,69.152,0.354166666666667,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
145,12,100,250,3662,69.624,0.324074074074074,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
146,12,100,250,3081,67.872,0.28494623655914,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
147,12,100,250,3274,68.892,0.315656565656566,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
148,12,100,250,3515,70.864,0.380952380952381,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
149,12,100,250,3764,71.42,0.506578947368421,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
150,12,100,250,3007,69.432,0.272222222222222,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
151,12,100,250,3159,66.98,0.303763440860215,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
152,12,100,250,2872,65.56,0.290229885057471,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
153,12,100,250,3105,69.392,0.413978494623656,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
154,12,100,250,3071,67.08,0.274193548387097,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
155,12,100,250,3644,68.788,0.293981481481481,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
156,12,150,250,3197,66.212,0.297619047619048,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
157,12,150,250,3646,72.128,0.208333333333333,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
158,12,150,250,3077,67.356,0.1875,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
159,12,150,250,3258,68.584,0.146825396825397,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
160,12,150,250,3517,69.104,0.170289855072464,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
161,12,150,250,3781,68.86,0.226666666666667,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
162,12,150,250,2978,64.972,0.18859649122807,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
163,12,150,250,3174,69.236,0.115079365079365,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
164,12,150,250,2906,67.396,0.223684210526316,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
165,12,150,250,3115,69.224,0.354166666666667,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
166,12,150,250,3096,69.696,0.033333333333333,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
167,12,150,250,3680,69.632,0.135416666666667,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
168,12,200,250,3166,68.676,0.138888888888889,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
169,12,200,250,3586,68.144,0.208333333333333,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
170,12,200,250,3124,67.248,0.2,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
171,12,200,250,3278,69.9,0.104166666666667,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
172,12,200,250,3509,71.56,0.132352941176471,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
173,12,200,250,3751,67.82,0.194444444444444,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
174,12,200,250,3025,67.096,0.133333333333333,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
175,12,200,250,3198,67.468,0.119791666666667,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
176,12,200,250,2914,68.728,0.190476190476191,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
177,12,200,250,3096,69.676,0.316666666666667,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
178,12,200,250,3094,67.688,0.038888888888889,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
179,12,200,250,3700,69.832,0.046296296296296,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
180,12,250,250,3220,67.792,0.180555555555556,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
181,12,250,250,3582,72.692,0.130952380952381,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
182,12,250,250,3168,71.268,0.104166666666667,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
183,12,250,250,3304,69.768,0.076923076923077,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
184,12,250,250,3548,72.06,0.136904761904762,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
185,12,250,250,3806,70.516,0.127777777777778,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
186,12,250,250,3036,69.74,0.076388888888889,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
187,12,250,250,3165,70.572,0.083333333333333,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
188,12,250,250,2857,67.996,0.166666666666667,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
189,12,250,250,3046,65.18,0.319444444444444,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
190,12,250,250,3015,65.496,0.027777777777778,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
191,12,250,250,3640,70.932,0.017857142857143,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
192,12,300,250,3207,69.968,0.175,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
193,12,300,250,3633,70.46,0.180555555555556,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
194,12,300,250,3121,71.988,0.083333333333333,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
195,12,300,250,3285,68.828,0.108333333333333,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
196,12,300,250,3530,71.856,0.083333333333333,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
197,12,300,250,3751,68.416,0.131944444444444,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
198,12,300,250,3005,67.404,0.116666666666667,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
199,12,300,250,3218,71.544,0.075,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
200,12,300,250,2866,67.312,0.175925925925926,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
201,12,300,250,3065,68.112,0.3,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
202,12,300,250,3104,66.532,0.075,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
203,12,300,250,3684,67.432,0.041666666666667,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
204,12,20000,250,3204,66.152,0,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
205,12,20000,250,3640,67.444,0,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
206,12,20000,250,3143,65.916,0,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
207,12,20000,250,3225,65.788,0,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
208,12,20000,250,3469,67.504,0,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
209,12,20000,250,3786,67.968,0,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
210,12,20000,250,2995,65.576,0,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
211,12,20000,250,3215,65.768,0,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
212,12,20000,250,2905,65.232,0,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
213,12,20000,250,3062,65.608,0,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
214,12,20000,250,3066,65.66,0,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
215,12,20000,250,3649,67.388,0,../includes/setup_smartphone.csv,../includes/orderedItems250.csv
0,12,100,50,742,65.44,0.357142857142857,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
1,12,100,50,703,65.64,0.392857142857143,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
2,12,100,50,769,69.7,0.119047619047619,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
3,12,100,50,686,63.62,0.388888888888889,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
4,12,100,50,782,71.74,0.380952380952381,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
5,12,100,50,714,66.62,0.392857142857143,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
6,12,100,50,710,68.28,0.321428571428571,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
7,12,100,50,743,68.96,0.392857142857143,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
8,12,100,50,633,67.32,0.333333333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
9,12,100,50,783,70.02,0.30952380952381,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
10,12,100,50,590,64.56,0.316666666666667,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
11,12,100,50,895,71.32,0.546296296296296,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
12,12,100,50,577,65.08,0.25,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
13,12,100,50,856,70.56,0.385416666666667,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
14,12,100,50,718,66.34,0.333333333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
15,12,100,50,846,72.12,0.53125,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
16,12,100,50,603,68.32,0.208333333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
17,12,100,50,544,59.08,0.216666666666667,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
18,12,100,50,792,70.52,0.511904761904762,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
19,12,100,50,715,70.42,0.25,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
20,12,100,50,689,64.4,0.208333333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
21,12,100,50,784,68.54,0.392857142857143,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
22,12,100,50,610,66.76,0.055555555555556,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
23,12,100,50,745,72.56,0.416666666666667,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
24,12,100,50,694,69.1,0.321428571428571,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
25,12,100,50,609,68.76,0.222222222222222,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
26,12,100,50,661,65.4,0.319444444444444,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
27,12,100,50,877,67.82,0.385416666666667,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
28,12,100,50,603,65.04,0.402777777777778,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
29,12,100,50,718,71.5,0.202380952380952,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
30,12,100,50,659,69.58,0.25,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
31,12,100,50,787,70.94,0.333333333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
32,12,100,50,582,67.34,0.233333333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
33,12,100,50,684,69.12,0.083333333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
34,12,100,50,674,65.72,0.361111111111111,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
35,12,100,50,858,73.4,0.322916666666667,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
36,12,100,50,753,69.16,0.333333333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
37,12,100,50,598,66.82,0.25,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
38,12,150,50,746,65.24,0.25,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
39,12,150,50,708,68.34,0.354166666666667,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
40,12,150,50,750,64.46,0.05,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
41,12,150,50,698,62.8,0.3125,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
42,12,150,50,779,69.62,0.3,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
43,12,150,50,719,69,0.229166666666667,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
44,12,150,50,680,66.58,0.1875,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
45,12,150,50,741,65.72,0.270833333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
46,12,150,50,611,61.78,0.291666666666667,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
47,12,150,50,773,71.38,0.183333333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
48,12,150,50,604,65.62,0.291666666666667,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
49,12,150,50,883,70.78,0.333333333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
50,12,150,50,590,65.52,0.194444444444444,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
51,12,150,50,845,68.72,0.2,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
52,12,150,50,724,68.58,0.1875,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
53,12,150,50,836,70.74,0.283333333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
54,12,150,50,599,66.86,0.104166666666667,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
55,12,150,50,568,67.34,0.138888888888889,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
56,12,150,50,774,65.48,0.433333333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
57,12,150,50,686,66.34,0.270833333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
58,12,150,50,666,65.36,0.0625,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
59,12,150,50,790,67.82,0.25,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
60,12,150,50,621,64.02,0.083333333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
