int(self),self.no_transporter,self.disturbance_cycle,tdi,self.cycle,mean_cyc_to_deliver,mean(t_avgs),mean(self.residue),self.anticipation_increase,self.setup_file,self.item_file
40,12,250,50,838,66.82,76.1388888888889,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
41,12,250,50,610,64.72,78,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
42,12,250,50,853,71.32,72.6527777777778,0.027777777777778,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
43,12,250,50,690,54.8,50.4583333333333,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
44,12,250,50,619,50.98,38.0416666666667,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
45,12,250,50,614,48.78,36,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
46,12,250,50,672,60.84,62.5416666666667,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
47,12,250,50,750,61.94,67,0.027777777777778,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
48,12,300,50,741,59.1,106.916666666667,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
49,12,300,50,808,58.34,73.7083333333333,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
50,12,300,50,707,53.44,45.5,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
51,12,300,50,831,62.52,45.25,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
52,12,300,50,672,57.82,59.1666666666667,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
53,12,300,50,585,45.88,39.3333333333333,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
54,12,300,50,908,55.44,49.7916666666667,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
55,12,300,50,750,60.34,67.7916666666667,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
56,12,300,50,846,52.84,50.8333333333333,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
57,12,300,50,670,61.74,58.5,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
58,12,300,50,602,46.18,45.6666666666667,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
59,12,300,50,954,69.96,73.0277777777778,0.055555555555556,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
60,12,20000,50,656,49.52,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
61,12,20000,50,640,47.58,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
62,12,20000,50,597,45.14,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
63,12,20000,50,611,47.84,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
64,12,20000,50,586,44.88,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
65,12,20000,50,626,48.48,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
66,12,20000,50,674,46.36,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
67,12,20000,50,596,46.62,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
68,12,20000,50,642,45.28,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
69,12,20000,50,552,46.44,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
70,12,20000,50,677,48.94,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
71,12,20000,50,605,49.14,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
72,12,100,100,1766,92.61,39.6505418192918,0.245098039215686,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
73,12,100,100,1944,91.56,46.0669625513376,0.324561403508772,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
74,12,100,100,2182,132.11,52.0047477984978,0.473484848484849,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
75,12,100,100,2313,181.36,47.905884046509,0.5,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
76,12,100,100,1652,88.31,41.2755844849595,0.182291666666667,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
77,12,100,100,1555,79.28,40.8447191697192,0.183333333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
78,12,100,100,1786,108.43,50.8684294871795,0.25462962962963,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
79,12,100,100,1505,84.74,50.530784955785,0.233333333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
80,12,100,100,2417,166.81,49.5433455433455,0.520833333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
81,12,100,100,1502,74.77,43.2691752691753,0.172222222222222,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
82,12,100,100,1746,93.25,45.3653443778444,0.25,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
83,12,100,100,1481,80.39,38.7947469197469,0.172619047619048,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
84,12,150,100,1483,70.31,53.964451058201,0.046296296296296,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
85,12,150,100,1459,75.27,63.4174933862434,0.074074074074074,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
86,12,150,100,1294,65.74,47.5114087301587,0.052083333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
87,12,150,100,1338,70.48,53.2916666666667,0.052083333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
88,12,150,100,1494,80.54,60.2048611111111,0.075,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
89,12,150,100,1573,77.79,53.4983796296296,0.075,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
90,12,150,100,1438,61.52,44.2349537037037,0.083333333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
91,12,150,100,1424,68.47,50.4467592592592,0.064814814814815,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
92,12,150,100,1668,72.87,53.8035563973064,0.060606060606061,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
93,12,150,100,1337,63.43,47.1041666666667,0.020833333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
94,12,150,100,1460,77.95,63.0076058201058,0.101851851851852,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
95,12,150,100,1407,68.19,43.1815476190476,0.083333333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
96,12,200,100,1381,67.52,70.1694444444445,0.027777777777778,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
97,12,200,100,1490,68.47,50.984126984127,0.011904761904762,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
98,12,200,100,1404,80.81,63.9458333333333,0.142857142857143,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
99,12,200,100,1271,64.65,57.6166666666667,0.027777777777778,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
100,12,200,100,1415,66.58,65.425,0.011904761904762,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
101,12,200,100,1554,86.09,79.8640873015873,0.119047619047619,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
102,12,200,100,1460,64.51,59.1468253968254,0.023809523809524,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
103,12,200,100,1517,71.15,65.0793650793651,0.095238095238095,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
104,12,200,100,1407,66.36,68.5444444444444,0.047619047619048,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
105,12,200,100,1319,60.34,47.6666666666667,0.013888888888889,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
106,12,200,100,1485,65.62,65.1309523809524,0.011904761904762,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
107,12,200,100,1513,76.08,75.1646825396825,0.047619047619048,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
108,12,250,100,1405,66.47,70.25,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
109,12,250,100,1151,58.49,59.3958333333333,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
110,12,250,100,1449,64.33,84.55,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
111,12,250,100,1207,60.37,62.75,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
112,12,250,100,1219,56.93,46.2291666666667,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
113,12,250,100,1629,66.59,62.8138888888889,0.013888888888889,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
114,12,250,100,1380,72.98,57.8791666666667,0.033333333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
115,12,250,100,1314,64.71,48.4291666666667,0.016666666666667,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
116,12,250,100,1266,60.05,63.8541666666667,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
117,12,250,100,1348,65.21,49.8875,0.033333333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
118,12,250,100,1469,75.1,76.7375,0.05,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
119,12,250,100,1510,60.07,55.6833333333333,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
120,12,300,100,1287,51.69,38.0833333333333,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
121,12,300,100,1493,67.51,84.3333333333333,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
122,12,300,100,1462,57.27,34.6458333333333,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
123,12,300,100,1267,52.72,36.7361111111111,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
124,12,300,100,1241,59.21,58.3263888888889,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
125,12,300,100,1416,57.31,56.125,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
126,12,300,100,1267,54.37,49.6875,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
127,12,300,100,1219,50.06,27.6666666666667,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
128,12,300,100,1395,62.63,73.6666666666667,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
129,12,300,100,1426,73.82,53.3541666666667,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
130,12,300,100,1282,55.68,54.4097222222222,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
131,12,300,100,1121,48.95,37.6388888888889,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
132,12,20000,100,1195,50.83,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
133,12,20000,100,1157,47.97,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
134,12,20000,100,1196,48.04,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
135,12,20000,100,1157,48.66,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
136,12,20000,100,1237,67.51,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
137,12,20000,100,1236,50.53,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
138,12,20000,100,1101,46.39,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
139,12,20000,100,1181,48.61,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
140,12,20000,100,1214,47.48,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
141,12,20000,100,1184,47.31,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
142,12,20000,100,1268,51.93,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
143,12,20000,100,1246,49.51,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems100.csv
144,12,100,250,3886,92.072,43.8633710749488,0.371794871794872,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
145,12,100,250,4274,109.46,46.5588123069453,0.422480620155039,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
146,12,100,250,3703,86.632,44.3000690614196,0.304054054054054,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
147,12,100,250,4622,120.064,52.3679594786252,0.518115942028986,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
148,12,100,250,3872,92.588,49.0247103467043,0.275641025641026,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
149,12,100,250,4341,129.192,51.5365374538491,0.478682170542636,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
150,12,100,250,4046,105.852,49.2756111108051,0.360416666666667,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
151,12,100,250,3980,93.112,50.2809493002463,0.310416666666667,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
152,12,100,250,3986,102.76,49.854695869342,0.383333333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
153,12,100,250,3601,93.832,48.7399363490298,0.319444444444444,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
154,12,100,250,4060,114.388,46.249081295049,0.436991869918699,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
155,12,100,250,4017,94.452,45.6529876284882,0.316666666666667,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
156,12,150,250,3722,83.704,55.8204094722973,0.131944444444444,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
157,12,150,250,4036,107.568,55.6126344902661,0.225308641975309,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
158,12,150,250,4015,78.844,57.2415821256039,0.086538461538462,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
159,12,150,250,3626,77.556,58.8311425591317,0.086805555555556,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
160,12,150,250,3524,71.928,54.4324165568731,0.101449275362319,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
161,12,150,250,3625,74.964,57.369586391869,0.076388888888889,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
162,12,150,250,4089,106.104,50.6959897891963,0.197530864197531,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
163,12,150,250,3590,77.58,49.4461932994542,0.076388888888889,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
164,12,150,250,3999,97.268,54.2944855826435,0.269230769230769,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
165,12,150,250,3743,95.592,60.7087764392041,0.16,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
166,12,150,250,3291,73.276,57.9982525758842,0.053030303030303,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
167,12,150,250,3261,64.352,46.128268588137,0.023809523809524,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
168,12,200,250,3263,73.64,58.4625305250305,0.125,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
169,12,200,250,3131,63.24,57.2950549450549,0.027777777777778,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
170,12,200,250,3551,74.32,63.7657284708755,0.073529411764706,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
171,12,200,250,3365,71.264,63.95,0.0625,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
172,12,200,250,3094,60.232,55.1257936507936,0.016666666666667,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
173,12,200,250,3293,69.312,69.0184523809524,0.036458333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
174,12,200,250,4078,96.804,63.151586328976,0.195833333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
175,12,200,250,3359,62.568,42.9569444444445,0.015625,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
176,12,200,250,3309,67.852,59.6246527777778,0.020833333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
177,12,200,250,3080,64.844,52.1257936507937,0.033333333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
178,12,200,250,3589,72.492,59.6789215686275,0.027777777777778,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
179,12,200,250,3161,62.672,53.768253968254,0.016666666666667,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
180,12,250,250,3320,65.492,62.2094017094017,0.006410256410256,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
181,12,250,250,2856,57.24,48.7159090909091,0.015151515151515,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
182,12,250,250,3233,58.9,56.8415404040404,0.013888888888889,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
183,12,250,250,2974,54.764,45.6356060606061,0.007575757575758,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
184,12,250,250,3227,60.76,60.5486111111111,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
185,12,250,250,3079,56.94,54.5435606060606,0.006944444444444,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
186,12,250,250,3174,61.272,53.6805555555556,0.006944444444444,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
187,12,250,250,3157,63.716,58.4962121212121,0.013888888888889,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
188,12,250,250,3260,64.884,57.8150252525253,0.012820512820513,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
189,12,250,250,2900,56.576,49.7083333333333,0.007575757575758,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
190,12,250,250,3236,69.764,70.2935606060606,0.041666666666667,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
191,12,250,250,3181,58.468,56.0650252525253,0.006944444444444,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
192,12,300,250,3056,61.42,66.6314814814815,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
193,12,300,250,3224,63.636,64.7212962962963,0.016666666666667,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
194,12,300,250,2943,59.924,71.9166666666667,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
195,12,300,250,3135,56.124,46.3916666666667,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
196,12,300,250,3242,64.992,63.925,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
197,12,300,250,3173,61.008,61.7824074074074,0.016666666666667,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
198,12,300,250,2823,51.724,45.0694444444444,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
199,12,300,250,3066,57.436,54.0583333333333,0.008333333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
200,12,300,250,3199,63.092,64.0833333333333,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
201,12,300,250,3714,92.472,61.9968434343434,0.020833333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
202,12,300,250,3321,61.084,67.7416666666667,0.007575757575758,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
203,12,300,250,2961,53.572,45.7777777777778,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
204,12,20000,250,2805,48.428,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
205,12,20000,250,2692,48.144,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
206,12,20000,250,2806,47.424,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
207,12,20000,250,2806,46.856,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
208,12,20000,250,2939,48.084,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
209,12,20000,250,2848,47.72,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
210,12,20000,250,2806,46.76,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
211,12,20000,250,2897,47.396,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
212,12,20000,250,2808,47.744,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
213,12,20000,250,2901,47.968,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
214,12,20000,250,3029,51.564,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
215,12,20000,250,2894,48.588,0,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems250.csv
216,12,100,50,933,80.7,49.1337301587302,0.166666666666667,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
217,12,100,50,1325,187.72,58.4641865079365,0.583333333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
218,12,100,50,969,124.26,59.8980158730159,0.37037037037037,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
219,12,100,50,802,71.96,37.5761904761905,0.09375,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
220,12,100,50,790,82.66,49.1007936507937,0.119047619047619,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
221,12,100,50,850,94.2,57.7295634920635,0.322916666666667,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
222,12,100,50,920,98.52,42.0510912698413,0.231481481481481,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
223,12,100,50,730,69.4,43.1375,0.178571428571429,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
224,12,100,50,767,67.16,35.034126984127,0.047619047619048,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
225,12,100,50,797,79.52,37.8833333333333,0.21875,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
226,12,100,50,955,88.42,52.2632275132275,0.203703703703704,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
